-0.67	 4.23
-6.09	 5.79
-6.96	 5.64
-2.42	 2.17
-10.29	 9.04
-6.55	 5.23
-10.60	 9.24
-5.83	 7.63
-9.46	 10.07
-8.52	 8.96
-1.67	 1.79
-1.80	 0.32
-9.14	 9.09
-8.24	 8.29
-0.34	 1.79
-1.70	 2.38
-9.25	 10.34
-7.29	 5.20
-11.14	 8.77
-9.32	 8.90
-5.75	 7.09
-8.27	 6.36
-5.26	 6.09
-5.70	 5.12
-1.59	 1.58
-5.97	 5.20
-8.69	 8.32
-6.83	 8.26
0.12	 2.08
-9.90	 9.39
-0.61	 0.22
-6.47	 6.85
-9.26	 9.78
-5.28	 6.26
-1.82	 0.44
-0.97	 0.66
-7.06	 5.98
-5.39	 6.71
-6.69	 4.83
-8.85	 9.41
-8.73	 9.66
0.20	 1.35
-8.65	 9.63
-5.85	 5.66
-0.69	 0.80
-6.18	 7.05
-1.56	 2.21
-8.79	 7.60
-7.06	 7.20
-1.14	 2.18
-5.18	 5.91
-5.73	 6.63
-1.91	 2.19
-4.86	 7.31
-10.64	 9.84
-8.66	 6.74
0.45	 1.36
-1.47	 2.90
-7.22	 6.49
-0.13	 2.23
0.39	 2.51
-1.67	 2.00
-4.93	 6.51
-9.53	 9.00
-10.35	 9.96
-5.73	 8.00
0.63	 0.54
-5.90	 7.59
-0.94	 1.16
0.01	 1.75
-9.45	 9.06
-9.99	 6.60
-0.82	 2.10
-0.60	 0.52
-8.70	 8.09
-7.69	 7.44
-6.84	 7.25
-6.94	 9.95
-9.15	 8.22
-4.87	 6.46
-9.08	 8.78
-9.64	 10.57
-5.37	 4.72
0.25	 0.64
-8.48	 7.86
-9.46	 9.68
-7.57	 7.60
-1.17	 3.76
-8.51	 9.29
-10.17	 10.73
-5.86	 6.28
-9.06	 10.91
0.99	 4.38
-10.24	 8.94
-1.44	 3.15
-7.53	 8.93
0.00	 0.44
1.24	 3.55
-10.02	 8.38
-10.15	 7.12
-0.07	 3.51
-8.62	 8.83
-9.20	 8.48
-0.65	 1.73
-7.96	 7.15
0.42	 0.85
-1.09	 2.62
-9.67	 9.56
-12.38	 9.54
-5.63	 7.69
0.46	 1.56
-5.83	 5.05
-7.94	 8.02
-7.80	 9.19
-5.82	 4.94
-4.76	 6.60
-1.55	 1.28
-0.69	 0.94
-6.74	 5.55
0.29	 2.41
-1.74	 3.65
-10.60	 8.62
-6.44	 6.36
-3.80	 6.84
-10.57	 10.09
-7.64	 7.39
-0.36	 1.94
-6.08	 5.36
-0.50	 2.17
1.51	 1.04
-0.97	 1.80
-6.35	 6.30
-4.99	 7.09
-0.31	 2.06
-5.99	 6.21
-8.24	 7.53
-10.27	 9.29
-5.59	 5.86
-9.39	 8.11
-4.98	 5.37
-1.23	 1.68
-9.25	 8.70
0.63	 1.40
-3.30	 2.48
-9.25	 10.26
-1.69	 2.00
-9.32	 8.78
-5.98	 5.11
0.31	 3.42
-5.42	 6.30
-10.46	 9.62
-6.00	 6.52
-8.13	 8.13
-0.13	 2.90
-1.55	 1.82
-6.42	 7.49
-0.81	 1.55
0.03	 3.03
-7.95	 6.29
-5.40	 5.93
-6.28	 5.74
-5.33	 6.11
-8.11	 9.82
-0.44	 0.62
-0.80	 2.94
-2.16	 2.49
-6.98	 4.85
-6.43	 6.33
-8.97	 9.38
-0.17	 3.68
-6.29	 4.58
-10.12	 9.81
-5.89	 8.42
-5.89	 4.67
-5.72	 5.89
-6.03	 5.99
-8.94	 8.06
-7.92	 7.32
-9.49	 9.29
0.48	 2.18
-8.61	 7.20
-9.31	 9.89
0.75	 3.49
-9.50	 9.21
-6.24	 6.76
-1.01	 2.96
1.23	 4.15
-9.32	 8.38
-8.69	 6.91
-8.98	 9.05
-6.63	 5.49
0.28	 1.98
-8.17	 8.11
1.90	 2.48
-0.09	 3.27
-1.30	 0.95
-5.64	 6.20
-7.72	 5.37
-8.64	 7.68
-10.20	 8.40
-10.53	 8.62
-0.89	 2.81
-0.36	 0.92
-9.15	 8.96
-4.27	 6.17
-8.25	 7.48
-5.12	 5.89
-1.55	 2.12
-5.65	 5.69
-0.24	 3.19
-0.08	 2.23
-0.58	 1.75
-7.71	 8.22
-8.12	 7.84
-7.21	 6.12
-1.35	 2.37
-0.22	 1.34
0.46	 1.67
-10.61	 9.20
-6.65	 7.08
-8.03	 7.69
-9.96	 9.89
-1.29	 2.08
-6.31	 5.66
-0.33	 1.97
-7.42	 7.67
-9.59	 6.60
-5.01	 5.26
-7.96	 7.96
-4.89	 5.59
-7.27	 7.74
-9.10	 10.41
-10.42	 6.58
-5.93	 6.33
-8.10	 9.38
-6.32	 5.71
-9.91	 9.41
-9.77	 10.03
1.11	 3.08
